,artist,credits,key,status,title
66,Gene Page,"{'artist': ['Sean Brennan', 'Tony Calvert', 'Wallace Create', 'Elbert Denny', 'Carnell Harrell', 'Alex Henderson', 'Randy Mahon', 'Matt Murphy', 'Billy Page', 'Gene Page', 'Craig Turnbull', 'Barry White'], 'credit': ['\n                            Mastering                        ', '\n                            Reissue Producer                        ', '\n                            Package Design                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Liner Notes,  Research                        ', '\n                            Interview Coordinator                        ', '\n                            Production Manager                        ', '\n                            Composer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Release Coordinator                        ', '\n                            Composer                        ']}",Gene Page - Hot City,good,Hot City
67,The Miracles,"{'artist': ['The Miracles'], 'credit': ['\n                            Primary Artist                        ']}",The Miracles - Don't Cha Love It,good,Don't Cha Love It
68,Zulema,error,Zulema - Zulema,error,Zulema
69,Minnie Riperton,"{'artist': ['Jack Arenas', 'Baker Bigsby', 'Shirley Brewer', 'Odell Brown', 'Ollie E. Brown', 'Malcolm Cecil', 'Kent Duncan', 'Rocki Dzidzornu', 'Barry Feinstein', 'Ute Friesleben', 'Anne Garner', 'Lani Groves', 'Marlo Henderson', 'Sneaky Pete Kleinow', 'Susan Lavoie', 'Hubert Laws', 'Robert Margouleff', 'Reggie McBride', 'John Morales', 'Ryan Null', 'Gary Olazabal', 'Xilonen Oreshnick', 'Tom Recchion', 'Minnie Riperton', 'Richard Rudolph', 'Michael Sembello', 'Gary Starr', 'El Toro Negro', 'Robert Vosgien', 'Harry Weinger', 'Deniece Williams', 'Stevie Wonder', 'Wonderlove', 'Yvonne Wright'], 'credit': ['\n                            Tape Research                        ', '\n                            Remix Assistant                        ', '\n                            Vocals (Background)                        ', '\n                            Overdubs                        ', '\n                            Drums                        ', '\n                            Associate Producer,  Engineer                        ', '\n                            Mastering                        ', '\n                            Congas                        ', '\n                            Photography                        ', '\n                            Production Manager                        ', '\n                            Design                        ', '\n                            Vocals (Background)                        ', '\n                            Guitar,  Guitar (Rhythm)                        ', '\n                            Guitar (Steel)                        ', '\n                            Art Direction                        ', '\n                            Flute                        ', '\n                            Associate Producer,  Engineer                        ', '\n                            Bass                        ', '\n                            Mixing                        ', '\n                            Photo Coordination                        ', '\n                            Assistant Engineer                        ', '\n                            Photo Coordination                        ', '\n                            Package Design                        ', '\n                            Composer,  Primary Artist,  Vocals,  Vocals (Background)                        ', '\n                            Composer,  Guitar,  Liner Notes                        ', '\n                            Guitar                        ', '\n                            Engineer                        ', '\n                            Bass,  Cymbals,  Drums,  Harmonica,  Piano,  Piano (Electric)                        ', '\n                            Mastering                        ', '\n                            Producer                        ', '\n                            Vocals (Background)                        ', '\n                            Bass,  Composer,  Cymbals,  Drums,  Moog Bass,  Piano (Electric),  Primary Artist                        ', '\n                            Arranger                        ', '\n                            Composer,  Vocals (Background)                        ']}",Minnie Riperton - Perfect Angel,good,Perfect Angel
70,The Three Degrees,"{'artist': ['Owen Brown', 'Wayne A. Dickson', 'Colin Elliot', 'Kenny Gamble', 'Norman Harris', 'Valerie Holiday', 'Leon Huff', 'Ed Lee', 'MFSB', 'Tom Moulton', 'Lenny Pakula', 'Richard Rome', 'Joe Tarsia', 'The Three Degrees', 'Alan Wilson'], 'credit': ['\n                            Photography                        ', '\n                            Liner Notes,  Reissue Producer,  Research                        ', '\n                            Logo Design                        ', '\n                            Composer                        ', '\n                            Arranger                        ', '\n                            Liner Notes                        ', '\n                            Composer                        ', '\n                            Cover Design                        ', '\n                            Musician,  Primary Artist                        ', '\n                            Remixing                        ', '\n                            Arranger                        ', '\n                            Arranger                        ', '\n                            Engineer                        ', '\n                            Featured Artist,  Primary Artist                        ', '\n                            Remastering                        ']}",The Three Degrees - The Three Degrees,good,The Three Degrees
71,Tavares,"{'artist': ['Larkin Arnold', 'Ben Benay', 'The Boogie Symphony', 'Larry Carlton', 'Gary Coleman', 'Scott Edwards', 'Wilton Felder', 'Ed Greene', 'Daryl Hall', 'Jeana Jackson', 'Roy Kohara', 'Dennis Lambert', 'David Nathan', 'John Oates', 'Michael Omartian', 'Brian Panella', 'Dean Parks', 'Brian Potter', 'Richard Rankin', 'Chris Rizik', 'Sid Sharp', 'Joe Sidore', 'Tavares', 'Roger Williams', 'Alan Wilson'], 'credit': ['\n                            Executive Producer                        ', '\n                            Guitar                        ', '\n                            Strings                        ', '\n                            Guitar                        ', '\n                            Percussion                        ', '\n                            Bass                        ', '\n                            Bass                        ', '\n                            Drums                        ', '\n                            Composer                        ', '\n                            Narrator                        ', '\n                            Art Direction                        ', '\n                            Composer,  Keyboards,  Producer                        ', '\n                            Reissue Producer                        ', '\n                            Composer                        ', '\n                            Arranger,  Conductor,  Keyboards                        ', '\n                            Coordination                        ', '\n                            Guitar                        ', '\n                            Composer,  Percussion,  Producer                        ', '\n                            Cover Photo                        ', '\n                            Liner Notes                        ', '\n                            Concert Master                        ', '\n                            Engineer                        ', '\n                            Primary Artist                        ', '\n                            Artwork,  Design                        ', '\n                            Digital Remastering                        ']}",Tavares - Hard Core Poetry,good,Hard Core Poetry
72,Ohio Players,error,Ohio Players - Ohio Players Greatest Hits,error,Ohio Players Greatest Hits
73,Bloodstone,"{'artist': ['Bloodstone', 'Willis Draffen', 'Charles McCormick', 'Harry Williams', 'Pete Wingfield'], 'credit': ['\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer,  Lyricist                        ', '\n                            Composer                        ', '\n                            Keyboards                        ']}",Bloodstone - Riddle Of The Sphinx,good,Riddle Of The Sphinx
74,Billy Paul,"{'artist': ['Kenny Gamble', 'Leon Huff', 'Benard Ighner', 'Bobby Martin', 'Gene McFadden', 'Billy Paul'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger                        ', '\n                            Composer                        ', '\n                            Primary Artist,  Vocals                        ']}",Billy Paul - Got My Head On Straight,good,Got My Head On Straight
75,Harold Melvin And The Blue Notes,"{'artist': ['Harold Melvin', 'Harold Melvin & the Blue Notes', 'Teddy Pendergrass'], 'credit': ['\n                            Primary Artist                        ', '\n                            Primary Artist                        ', '\n                            Featured Artist                        ']}",Harold Melvin And The Blue Notes - To Be True,good,To Be True
76,Tower Of Power,"{'artist': ['Greg Adams', 'Bootche Anderson', 'David Bartlett', 'Emilio Castillo', 'Alan Chinowsky', 'Carter Collins', 'Bruce Conte', 'Tom Flye', 'David Garibaldi', 'Mic Gillette', 'Barrie Goshko', 'Lee Herschberg', 'Kalifornia Kurt Kinzel', 'Stephen ""Doc"" Kupka', 'Lenny Pickett', 'Francis ""Rocco"" Prestia', 'Marilyn Scott', 'Bruce Steinberg', 'Chester Thompson', 'Tower of Power', 'Gerald Vinci', 'Pepper Watkins', 'Lenny Williams'], 'credit': ['\n                            Arranger,  Composer,  Conductor,  Flugelhorn,  String Arrangements,  Trumpet                        ', '\n                            Vocals (Background)                        ', '\n                            Composer,  Drums,  Vocals                        ', '\n                            Composer,  Producer,  Sax (Tenor),  Vocals,  Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Congas                        ', '\n                            Composer,  Guitar,  Vocals,  Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Drums                        ', '\n                            Trombone,  Trumpet,  Vocals,  Vocals (Background)                        ', '\n                            Design                        ', '\n                            Digital Mastering                        ', '\n                            Assistant Engineer                        ', '\n                            Composer,  Sax (Baritone)                        ', '\n                            Clarinet,  Clarinet (Bass),  Flute (Alto),  Sax (Alto),  Sax (Soprano),  Sax (Tenor)                        ', '\n                            Bass                        ', '\n                            Vocals (Background)                        ', '\n                            Art Direction,  Cover Design,  Design,  Photography                        ', '\n                            Arranger,  Bass Pedals,  Clavinet,  Composer,  Organ,  Piano,  Synthesizer,  Vocals,  Vocals (Background)                        ', '\n                            Primary Artist,  Producer                        ', '\n                            Concert Master                        ', '\n                            Vocals (Background)                        ', '\n                            Composer,  Vocals                        ']}",Tower Of Power - Urban Renewal,good,Urban Renewal
77,Percy Sledge,"{'artist': ['David Alexander', 'Jeff Barry', 'Barry Beckett', 'David Briggs', 'Harrison Calloway, Jr.', 'Pete Carr', 'Rod Dyer', 'Ronnie Eades', 'Gene Eichelberger', 'Dallas Frazier', 'Jeanie Greene', 'Roger Hawkins', 'Ginger Holladay', 'Mary Holladay', 'David Hood', 'Quin Ivy', 'Mark James', 'David ""Bat"" Johnson', 'Jimmy Johnson', 'Jerry Masters', 'Steve Melton', 'Phillip Mitchell', 'Larry Murray', 'Bill Naegels', ""Kenny O'Dell"", 'Court Pickett', 'Sue Richards', 'Tom Roady', 'Charles Rose', 'Ernie Shelby', 'Percy Sledge', 'Soule', 'George Soulé', 'Thompson', 'Harvey Thompson', 'Ed Thrasher', 'Phil Walden', 'Wendy Waldman', 'Jeff Willens'], 'credit': ['\n                            Photography                        ', '\n                            Composer                        ', '\n                            Keyboards                        ', '\n                            Arranger                        ', '\n                            Trumpet                        ', '\n                            Composer,  Guitar                        ', '\n                            Design                        ', '\n                            Sax (Baritone)                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Drums                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Bass                        ', '\n                            Producer                        ', '\n                            Composer                        ', '\n                            Engineer                        ', '\n                            Guitar (Rhythm)                        ', '\n                            Engineer,  Remixing                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Design                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Congas                        ', '\n                            Trombone                        ', '\n                            Composer                        ', '\n                            Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Sax (Tenor)                        ', '\n                            Art Direction                        ', '\n                            Arranger                        ', '\n                            Composer                        ', '\n                            Remixing                        ']}",Percy Sledge - I'll Be Your Everything,good,I'll Be Your Everything
78,Dynamic Superiors,"{'artist': ['Nickolas Ashford', 'The Dynamic Superiors', 'Elliot Scheiner', 'Valerie Simpson'], 'credit': ['\n                            Composer,  Producer                        ', '\n                            Primary Artist                        ', '\n                            Engineer                        ', '\n                            Composer                        ']}",Dynamic Superiors - The Dynamic Superiors,good,The Dynamic Superiors
79,The Stylistics,"{'artist': ['Anthony Bell', 'Thom Bell', 'Christopher Biehler', 'Eddie Bryant', 'Marty Bryant', 'Luigi Creatore', 'Linda Creed', 'Bradley Delmont', 'Robert Douglas', 'Kenny Gamble', 'Tony Gross', 'Leslie Hall', 'Jonathan Lind', 'Dennis Matkosky', 'Van McCoy', 'The New Stylistics', 'Hugo Peretti', 'Bill Perry', 'Sam Polizzi', 'Leonard Silver', 'The Stylistics', 'Russell Thompkins, Jr.', 'Brian Tinsley', 'Anthony Watson', 'George David Weiss'], 'credit': ['\n                            Composer                        ', '\n                            Arranger,  Composer,  Conductor,  Producer                        ', '\n                            Digital Transfers,  Mastering,  Producer,  Remixing                        ', '\n                            Composer                        ', '\n                            Composer,  Producer                        ', '\n                            Composer,  Producer                        ', '\n                            Composer                        ', '\n                            Graphic Design                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Digital Transfers,  Mastering,  Remixing                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Conductor                        ', '\n                            Primary Artist                        ', '\n                            Composer,  Producer                        ', '\n                            Producer                        ', '\n                            Digital Transfers,  Mastering                        ', '\n                            Executive Producer,  Producer                        ', '\n                            Primary Artist                        ', '\n                            Primary Artist,  Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",The Stylistics - The Best Of The Stylistics,good,The Best Of The Stylistics
80,Barbara Mason,"{'artist': ['Barbara Mason'], 'credit': ['\n                            Primary Artist                        ']}",Barbara Mason - Love's The Thing,good,Love's The Thing
81,Oliver Sain,"{'artist': ['Luther Dixon', 'Oliver Sain', 'Otta Thompson'], 'credit': ['\n                            Composer                        ', '\n                            Composer,  Primary Artist,  Producer                        ', '\n                            Composer                        ']}",Oliver Sain - Bus Stop,good,Bus Stop
82,Vernon Burch,"{'artist': ['Reggie Andrews', 'H.B. Barnum', 'Vernon Burch', 'Kim Carnes', 'F. Byron Clark', 'Joe Clayton', 'Denny Diante', 'Ed Greene', 'Susaye Greene', 'Jimmie Haskell', 'Alvin Hunter', 'Plas Johnson', 'Phil Kelsey', 'Philip Kelsey', 'Ron Malo', 'Jeffrey Marmelzat', 'Ollie Mitchell', 'Michael Moore', 'Spencer Proffer', 'John Rotella', 'Joe Sample', 'Julia Tillman Waters', 'Maxine Willard Waters', 'Carolyn Willis', 'Tom Wilson'], 'credit': ['\n                            Keyboards                        ', '\n                            Arranger                        ', '\n                            Arranger,  Composer,  Guitar,  Guitar (Electric),  Primary Artist,  Producer,  Vocals                        ', '\n                            Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Congas                        ', '\n                            Producer                        ', '\n                            Drums                        ', '\n                            Vocals (Background)                        ', '\n                            Arranger                        ', '\n                            Drums                        ', '\n                            Saxophone                        ', '\n                            Bass (Electric)                        ', '\n                            Bass                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Trumpet                        ', '\n                            Drums                        ', '\n                            Composer,  Producer                        ', '\n                            Clarinet                        ', '\n                            Keyboards                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Executive Producer,  Producer                        ']}",Vernon Burch - I'll Be Your Sunshine,good,I'll Be Your Sunshine
83,Gloria Gaynor,"{'artist': ['Paul Bevoir', 'Tony Bongiovi', 'Citylife', 'Clifton Davis', 'Lew Del Gatto', 'Wayne A. Dickson', 'Colin Elliot', 'Jay Ellis', 'Gloria Gaynor', 'Norman Harris', 'M. Ledbetter', 'Paul Leka', 'Meco Menardo', 'Kevin Reeves', 'Casey Spencer', 'Harold Wheeler', 'Alan Wilson'], 'credit': ['\n                            Redesign                        ', '\n                            Producer                        ', '\n                            Arranger                        ', '\n                            Composer                        ', '\n                            Arranger                        ', '\n                            Liner Notes,  Reissue Producer,  Research                        ', '\n                            Logo Design                        ', '\n                            Producer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Arranger                        ', '\n                            Composer                        ', '\n                            Producer                        ', '\n                            Arranger,  Producer                        ', '\n                            Remastering                        ', '\n                            Composer                        ', '\n                            Arranger                        ', '\n                            Transfers                        ']}",Gloria Gaynor - Never Can Say Goodbye,good,Never Can Say Goodbye
84,Dionne Warwick,"{'artist': ['Bob Babbitt', 'Thom Bell', 'Ivan Joseph Goldberg', 'Rich Kamerman', 'Linda Laurie', 'Sherman Marshall', 'Harry Maslin', 'Jim McCurdy', 'David Nathan', 'Philip T. Pugh', 'Jerry Ragovoy', 'Aaron Schroeder', 'Abbey Schroeder', 'The Spinners', 'Jule Styne', 'Paul Tarnopol', 'Chip Taylor', 'Bruce Tergesen', 'Dionne Warwick', 'George David Weiss', 'Larry Wilcox'], 'credit': ['\n                            Bass                        ', '\n                            Arranger,  Conductor,  Producer                        ', '\n                            Digital Remastering                        ', '\n                            Creative Director                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Executive Producer                        ', '\n                            Composer                        ', '\n                            Arranger,  Composer,  Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Guest Artist                        ', '\n                            Composer                        ', '\n                            Executive Producer                        ', '\n                            Composer                        ', '\n                            Engineer                        ', '\n                            Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Horn,  Strings                        ']}",Dionne Warwick - Then Came You,good,Then Came You
85,The Dells,error,The Dells - The Dells Greatest Hits Volume 2,error,The Dells Greatest Hits Volume 2
86,"Earth, Wind & Fire",error,"Earth, Wind & Fire - That's The Way Of The World (Soundtrack)",error,That's The Way Of The World (Soundtrack)
87,"Grover Washington, Jr.","{'artist': ['Wayne Andre', 'Phil Bodner', 'Randy Brecker', 'Al Brown', 'Bob Ciano', 'Max Ellen', 'Jon Faddis', 'Eric Gale', 'Paul Gershman', 'Harry Glickman', 'Bob James', 'Gary King', 'Harold Kohon', 'Harry Lookofsky', 'Ralph MacDonald', 'Alen MacWeeney', 'Joseph Malin', 'Harvey Mason, Sr.', 'Charles McCracken', 'David Nadien', 'Matthew Raimondi', 'Doug Ramsey', 'Milt Raskin', 'William Salter', 'Alan Shulman', 'Marvin Stamm', 'Billy Strayhorn', 'Tony Studd', 'Phil Upchurch', 'Rudy Van Gelder', 'The Manny Vardi Strings', 'Grover Washington, Jr.'], 'credit': ['\n                            Trombone                        ', '\n                            Guest Artist,  Sax (Baritone)                        ', '\n                            Trumpet                        ', '\n                            Viola                        ', '\n                            Design                        ', '\n                            Violin                        ', '\n                            Flugelhorn,  Guest Artist,  Trumpet                        ', '\n                            Guest Artist,  Guitar                        ', '\n                            Violin                        ', '\n                            Violin                        ', '\n                            Arranger,  Composer,  Conductor,  Guest Artist,  Keyboards,  Piano,  Piano (Electric)                        ', '\n                            Bass                        ', '\n                            Violin                        ', '\n                            Violin                        ', '\n                            Composer,  Percussion                        ', '\n                            Photography                        ', '\n                            Violin                        ', '\n                            Drums,  Guest Artist                        ', '\n                            Cello                        ', '\n                            Violin                        ', '\n                            Violin                        ', '\n                            Liner Notes                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Cello                        ', '\n                            Flugelhorn,  Guest Artist,  Trumpet                        ', '\n                            Composer                        ', '\n                            Trombone (Bass)                        ', '\n                            Bass                        ', '\n                            Engineer                        ', '\n                            Viola                        ', '\n                            Composer,  Primary Artist,  Sax (Alto),  Sax (Soprano),  Sax (Tenor),  Saxophone                        ']}","Grover Washington, Jr. - Mister Magic",good,Mister Magic
88,Kool & The Gang,"{'artist': ['Kool & the Gang'], 'credit': ['\n                            Primary Artist                        ']}",Kool & The Gang - Kool & The Gang Greatest Hits!,good,Kool & The Gang Greatest Hits!
89,Stanley Turrentine,"{'artist': ['Ray Barretto', 'Rubens Bassini', 'John Berg', 'Kenny Burrell', 'Ron Carter', 'Bob Ciano', 'Billy Cobham', 'Butch Cornell', 'Deodato', 'Arnaldo DeSouteiro', 'Norm Elrod', 'Dave Friedman', 'Howard Fritzen', 'Curtis Fuller', 'Eric Gale', 'Russell George', 'Bob James', 'Harold Mabern', 'Alen MacWeeney', 'George Marge', 'Randall Martin', 'Blue Mitchell', 'Airto Moreira', 'Idris Muhammad', ""Chico O'Farrill"", 'João Palma', 'Romeo Penque', 'Jerome Richardson', 'Dom Um Romão', 'Seth Rothstein', 'Don Sebesky', 'Sivuca', 'Creed Taylor', 'Stanley Turrentine', 'Rudy Van Gelder'], 'credit': ['\n                            Congas                        ', '\n                            Congas                        ', '\n                            Original Cover Artwork                        ', '\n                            Guitar (Electric)                        ', '\n                            Bass (Acoustic)                        ', '\n                            Design                        ', '\n                            Drums                        ', '\n                            Organ (Hammond),  Piano (Electric)                        ', '\n                            Arranger,  Conductor,  Fender Rhodes                        ', '\n                            Reissue Producer                        ', '\n                            Packaging Manager                        ', '\n                            Vibraphone                        ', '\n                            Reissue Art Director                        ', '\n                            Trombone                        ', '\n                            Guitar (Electric)                        ', '\n                            Bass (Electric)                        ', '\n                            Arranger,  Conductor                        ', '\n                            Fender Rhodes                        ', '\n                            Photography                        ', '\n                            Flute                        ', '\n                            Reissue Design                        ', '\n                            Trumpet                        ', '\n                            Percussion                        ', '\n                            Drums                        ', '\n                            Brass Arrangement                        ', '\n                            Drums,  Percussion                        ', '\n                            Flute                        ', '\n                            Flute,  Sax (Tenor)                        ', '\n                            Percussion                        ', '\n                            Project Director                        ', '\n                            Arranger,  Conductor                        ', '\n                            Guitar (Acoustic)                        ', '\n                            Producer                        ', '\n                            Primary Artist,  Sax (Tenor)                        ', '\n                            Engineer                        ']}",Stanley Turrentine - The Sugar Man,good,The Sugar Man
90,Carol Douglas,"{'artist': ['Dominic Bugatti', 'Roger Cook', 'John Davis', 'Bert DeCoteaux', 'Carol Douglas', 'Bobby Flax', 'Roger Greenaway', 'W. Lounge Lizard Kelly IV, Esq.', 'Lanny Lambert', 'Robert Matichak', 'Eric Matthew', 'Meco Monardo', 'Frank Musker', 'Eddie OLoughlin', 'Darryl Payne', 'Bob Reno', 'Nick Sangiamo', 'Geoff Stephens', 'Edison Youngblood'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Conductor                        ', '\n                            Arranger,  Conductor,  Producer                        ', '\n                            Guitar,  Keyboards,  Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Producer                        ', '\n                            Producer                        ', '\n                            Arranger,  Conductor                        ', '\n                            Composer                        ', '\n                            Composer,  Producer                        ', '\n                            Producer                        ', '\n                            Liner Notes                        ', '\n                            Cover Photo,  Photography                        ', '\n                            Composer                        ', '\n                            Engineer                        ']}",Carol Douglas - The Carol Douglas Album,good,The Carol Douglas Album
91,Major Harris,"{'artist': ['Paul Anka', 'Bob Babbitt', 'Ronnie Baker', 'Barrett', 'Vinnie Barrett', 'Evette Benson', 'Carla Benton', 'Carla Benton', 'Charles Collins', 'Charlie Collins', 'Terry Collins', 'Eli', 'Bobby Eli', 'Francios', 'Claude François', 'Bruce Gable', 'Major Harris', 'Norman Harris', 'Barbara Ingram', 'Rusty Jackmon', 'Ron Kersey', 'Lyric', 'Jay Mark', 'Vince Montana', 'Don Murray', 'Mystro', 'Carl Paroulo', 'Kenny Present', 'Joe Reagoso', 'Don Renaldo', 'Revaux', 'Jacques Revaux', 'Alan Rubens', 'Thibault', 'Gilles Thibault', 'Larry Washington', 'Earl Young'], 'credit': ['\n                            Composer                        ', '\n                            Bass,  Main Personnel                        ', '\n                            Bass,  Main Personnel                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Drums                        ', '\n                            Drums                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Audio Production,  Composer,  Guitar,  Main Personnel,  Producer,  Rhythm Arrangements,  Vocal Arrangement                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Executive Producer                        ', '\n                            Primary Artist,  Vocals,  Vocals (Background)                        ', '\n                            Arranger,  Guitar,  Main Personnel                        ', '\n                            Vocals (Background)                        ', '\n                            Bass                        ', '\n                            Arranger,  Audio Production,  Keyboards,  Main Personnel                        ', '\n                            Audio Production,  Composer                        ', '\n                            Engineer                        ', '\n                            Main Personnel,  Vibraphone                        ', '\n                            Engineer                        ', '\n                            Audio Production,  Composer                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Liner Notes,  Reissue Producer                        ', '\n                            Main Personnel                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Coordination,  Executive Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Main Personnel                        ', '\n                            Drums,  Main Personnel                        ']}",Major Harris - My Way,good,My Way
92,Al Green,error,Al Green - Al Green/Greatest Hits,error,Al Green/Greatest Hits
93,Donald Byrd,"{'artist': ['Gary Bartz', 'Dr. George Butler', 'George ""Wild Child"" Butler', 'Donald Byrd', 'James Carter', 'Mayuto Correa', 'Michael Cuscuna', 'Chuck Davis', 'Margie Evans', 'Val Garay', 'Kay Haith', 'David Hassinger', 'William Jordan', 'Lorraine Kennar', 'Harvey Mason, Sr.', 'Doug Metzler', 'John Mills', 'John H.R. Mills', 'Fonce Mizell', 'Larry Mizell', 'Jim Nipar', 'Freddie Perren', 'Fred Perrin', 'Jerry Peters', 'Chuck Rainey', 'Patrick Roques', 'John Rowin', 'Roger Sainte', 'Sigidi', 'Stephanie Spruill', 'David T. Walker'], 'credit': ['\n                            Clarinet,  Guest Artist,  Sax (Alto),  Sax (Soprano)                        ', '\n                            Executive Producer                        ', '\n                            Executive Producer                        ', '\n                            Artist Consultant,  Composer,  Flugelhorn,  Primary Artist,  Soloist,  Trumpet,  Vocals                        ', '\n                            Whistle (Human)                        ', '\n                            Congas                        ', '\n                            Reissue Producer                        ', '\n                            Consultant,  Technical Director                        ', '\n                            Vocals (Background)                        ', '\n                            Engineer,  Remixing                        ', '\n                            Vocals (Background)                        ', '\n                            Engineer,  Remixing                        ', '\n                            Production Coordination                        ', '\n                            Vocals (Background)                        ', '\n                            Arranger,  Bata Drums,  Composer,  Drums,  Guest Artist,  Harmonica                        ', '\n                            Photography                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Arranger,  Clarinet,  Clavinet,  Producer,  Trumpet,  Vocal Arrangement,  Vocals (Background)                        ', '\n                            ARP Synthesizer,  Arranger,  Composer,  Conductor,  Fender Rhodes,  Producer,  Synthesizer,  Vocal Arrangement,  Vocals (Background)                        ', '\n                            Assistant                        ', '\n                            Vocal Arrangement,  Vocals (Background)                        ', '\n                            Vocal Arrangement,  Vocals (Background)                        ', '\n                            Organ,  Piano                        ', '\n                            Bass,  Bass (Electric)                        ', '\n                            Reissue Design                        ', '\n                            Guitar                        ', '\n                            Percussion                        ', '\n                            Arranger,  Copyist                        ', '\n                            Percussion,  Vocals (Background)                        ', '\n                            Guitar                        ']}",Donald Byrd - Stepping Into Tomorrow,good,Stepping Into Tomorrow
94,Ron Banks And The Dramatics,error,Ron Banks And The Dramatics - The Dramatic Jackpot,error,The Dramatic Jackpot
95,Funkadelic,"{'artist': ['Funkadelic'], 'credit': ['\n                            Primary Artist                        ']}",Funkadelic - Funkadelic's Greatest Hits,good,Funkadelic's Greatest Hits
